angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[826, 162, 292, 372]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[827, 167, 293, 372]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[827, 167, 292, 370]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[827, 167, 292, 369]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[829, 167, 291, 370]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[829, 167, 291, 370]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[829, 167, 291, 370]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[829, 167, 292, 370]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[829, 167, 292, 370]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[841, 183, 282, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 183, 282, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 183, 282, 346]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 185, 280, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[844, 185, 280, 344]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[837, 191, 290, 354]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[837, 191, 290, 354]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[837, 191, 290, 354]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[849, 189, 277, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[849, 189, 277, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 190, 277, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 191, 276, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 191, 277, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[849, 192, 278, 336]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[849, 191, 278, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 192, 278, 335]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 192, 278, 335]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 192, 278, 335]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 192, 278, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 192, 278, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 192, 278, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 192, 278, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[847, 189, 280, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 193, 278, 335]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 193, 278, 335]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 192, 278, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 192, 278, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 192, 278, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 191, 280, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 191, 280, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 190, 280, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 190, 280, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[850, 190, 280, 339]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[853, 194, 278, 334]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 193, 278, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 192, 280, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 193, 279, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 193, 279, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 192, 280, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 192, 280, 338]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[836, 165, 295, 377]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[836, 164, 295, 378]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[836, 164, 295, 378]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[836, 164, 295, 377]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[836, 164, 295, 377]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[839, 164, 294, 376]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[839, 165, 294, 375]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[840, 168, 291, 374]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[839, 164, 294, 376]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[838, 163, 295, 378]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[842, 169, 289, 372]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 165, 293, 375]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[841, 163, 293, 377]",0.0,0.0,0.98,0.0,0.0,0.02
0.0,"[844, 180, 297, 354]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[844, 180, 297, 354]",0.0,0.0,0.97,0.0,0.0,0.03
0.0,"[839, 163, 295, 379]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[839, 163, 295, 379]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[839, 163, 296, 380]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[838, 162, 298, 382]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[838, 161, 298, 383]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[855, 189, 283, 341]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[855, 189, 283, 341]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[855, 189, 283, 341]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[853, 189, 283, 342]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[853, 189, 283, 342]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[852, 188, 283, 343]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[852, 189, 283, 342]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[852, 189, 283, 342]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 182, 286, 349]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[851, 182, 285, 349]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[840, 165, 294, 372]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[840, 165, 294, 372]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[840, 165, 294, 372]",0.0,0.0,1.0,0.0,0.0,0.0
0.01,"[839, 201, 281, 349]",0.0,0.07,0.0,0.86,0.05,0.01
0.01,"[839, 200, 281, 350]",0.0,0.05,0.0,0.88,0.05,0.01
0.02,"[838, 199, 281, 352]",0.0,0.06,0.0,0.85,0.07,0.01
0.02,"[838, 199, 281, 352]",0.0,0.06,0.0,0.85,0.07,0.01
0.02,"[838, 199, 281, 352]",0.0,0.06,0.0,0.85,0.07,0.01
0.01,"[816, 178, 298, 383]",0.0,0.02,0.0,0.87,0.1,0.0
0.02,"[815, 178, 299, 383]",0.0,0.02,0.0,0.84,0.12,0.0
